CUT PARTS,per_kit,kits,total,hole_mm,notes
spacer,3,10,30,8.0,"3mm(model) ply, scaled x6.0"
frame spacer,2,10,20,22.0,"3mm(model) ply, scaled x6.0"
Component19,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
Spur Gear 12 teeth,3,10,30,8.0,"5mm(model) ply, scaled x6.0"
LinkE,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
LinkF,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
LinkJ,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
LinkK,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
driving gear,3,10,30,8.0,"5mm(model) ply, scaled x6.0"
LinkD,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
LinkB,6,10,60,13.0,"3mm(model) ply, scaled x6.0"
LinkC,6,10,60,13.0,"3mm(model) ply, scaled x6.0"

SHEETS,,,9,,2440x1220mm

HARDWARE,per_kit,kits,total,,
F686ZZ flanged bearing (6x13x5) OR 6mm nylon flanged bushing,90,10,900,,
"M6 bolt (pivot pin, mixed lengths 30-50mm)",45,10,450,,
M6 nyloc nut,45,10,450,,
nylon washer / spacer M6,120,10,1200,,
608ZZ bearing (8x22x7) crankshaft,6,10,60,,
8mm steel rod / M8 threaded rod (crankshaft),1,10,10,,
crank handle (cut part),1,10,10,,
