CUT PARTS,per_kit,kits,total,hole_mm,notes
crank,1,1,1,per-hole,"3mm(model), x9.0"
driving gear,3,1,3,per-hole,"5mm(model), x9.0"
driven gear,3,1,3,per-hole,"5mm(model), x9.0"
frame spacer,2,1,2,per-hole,"3mm(model), x9.0"
spacer,3,1,3,per-hole,"3mm(model), x9.0"
"Links h,i,g",12,1,12,9,"3mm(model), x9.0"
LinkC,6,1,6,9,"3mm(model), x9.0"
LinkD,6,1,6,9,"3mm(model), x9.0"
LinkB,6,1,6,9,"3mm(model), x9.0"
LinkE,12,1,12,9,"3mm(model), x9.0"
LinkF,6,1,6,9,"3mm(model), x9.0"
LinkK,12,1,12,9,"3mm(model), x9.0"
LinkJ,12,1,12,9,"3mm(model), x9.0"

SHEETS,,,7,,1200x1200mm

HARDWARE,per_kit,kits,total,,
608ZZ bearing (8x22x7) - crankshaft supports only,5,1,5,,
"M8 bolt 30-50mm - leg pivot pins (links pivot on the shank, 9mm clearance holes)",45,1,45,,
M8 nyloc nut,45,1,45,,
nylon washer/spacer M8 - between every pivoting face,120,1,120,,
8mm steel rod - crankshaft + crank pins + fixed shafts + handle (cut to length),8,1,8,,
crank handle (cut part),1,1,1,,
